time,,values
11:21:33,40893.56,-167
11:21:33,40893.57,-174
11:21:33,40893.58,-254
11:21:33,40893.59,-168
11:21:33,40893.60,-211
11:21:33,40893.61,-169
11:21:33,40893.62,-163
11:21:33,40893.63,-71
11:21:33,40893.64,-108
11:21:33,40893.65,-80
11:21:33,40893.66,-184
11:21:33,40893.67,-92
11:21:33,40893.68,-150
11:21:33,40893.69,-90
11:21:33,40893.70,-113
11:21:33,40893.71,-97
11:21:33,40893.72,-66
11:21:33,40893.73,0
11:21:33,40893.74,-32
11:21:33,40893.75,-26
11:21:33,40893.76,-124
11:21:33,40893.77,-39
11:21:33,40893.78,-87
11:21:33,40893.79,-46
11:21:33,40893.80,-39
11:21:33,40893.81,48
11:21:33,40893.82,105
11:21:33,40893.83,174
11:21:33,40893.84,184
11:21:33,40893.85,227
11:21:33,40893.86,198
11:21:33,40893.87,120
11:21:33,40893.88,6
11:21:33,40893.89,-88
11:21:33,40893.90,-76
11:21:33,40893.91,-13
11:21:33,40893.92,-68
11:21:33,40893.93,-155
11:21:33,40893.94,-282
11:21:33,40893.95,-267
11:21:33,40893.96,-153
11:21:33,40893.97,163
11:21:33,40893.98,632
11:21:33,40893.99,1040
11:21:33,40894.00,1177
11:21:34,40894.01,1050
11:21:34,40894.02,763
11:21:34,40894.03,303
11:21:34,40894.04,-201
11:21:34,40894.05,-526
11:21:34,40894.06,-583
11:21:34,40894.07,-479
11:21:34,40894.08,-334
11:21:34,40894.09,-180
11:21:34,40894.10,-154
11:21:34,40894.11,-144
11:21:34,40894.12,-223
11:21:34,40894.13,-130
11:21:34,40894.14,-167
11:21:34,40894.15,-56
11:21:34,40894.16,-16
11:21:34,40894.17,58
11:21:34,40894.18,73
11:21:34,40894.19,98
11:21:34,40894.20,109
11:21:34,40894.21,128
11:21:34,40894.22,139
11:21:34,40894.23,175
11:21:34,40894.24,168
11:21:34,40894.25,159
11:21:34,40894.26,102
11:21:34,40894.27,27
11:21:34,40894.28,-48
11:21:34,40894.29,-107
11:21:34,40894.30,-215
11:21:34,40894.31,-246
11:21:34,40894.32,-287
11:21:34,40894.33,-233
11:21:34,40894.34,-233
11:21:34,40894.35,-231
11:21:34,40894.36,-176
11:21:34,40894.37,-115
11:21:34,40894.38,-135
11:21:34,40894.39,-136
11:21:34,40894.40,-208
11:21:34,40894.41,-133
11:21:34,40894.42,-151
11:21:34,40894.43,-133
11:21:34,40894.44,-105
11:21:34,40894.45,-29
11:21:34,40894.46,-63
11:21:34,40894.47,-44
11:21:34,40894.48,-142
11:21:34,40894.49,-54
11:21:34,40894.50,-105
11:21:34,40894.51,-66
11:21:34,40894.52,-65
11:21:34,40894.53,-70
11:21:34,40894.54,-124
11:21:34,40894.55,-71
11:21:34,40894.56,-46
11:21:34,40894.57,134
11:21:34,40894.58,166
11:21:34,40894.59,279
11:21:34,40894.60,255
11:21:34,40894.61,223
11:21:34,40894.61,175
11:21:34,40894.62,137
11:21:34,40894.63,7
11:21:34,40894.64,-25
11:21:34,40894.65,-159
11:21:34,40894.66,-157
11:21:34,40894.67,-254
11:21:34,40894.68,-248
11:21:34,40894.69,-124
11:21:34,40894.70,91
11:21:34,40894.71,325
11:21:34,40894.72,697
11:21:34,40894.73,971
11:21:34,40894.74,1151
11:21:34,40894.75,906
11:21:34,40894.76,405
11:21:34,40894.77,-137
11:21:34,40894.78,-473
11:21:34,40894.79,-504
11:21:34,40894.80,-408
11:21:34,40894.81,-355
11:21:34,40894.82,-230
11:21:34,40894.83,-189
11:21:34,40894.84,-90
11:21:34,40894.85,-136
11:21:34,40894.86,-75
11:21:34,40894.87,-73
11:21:34,40894.88,14
11:21:34,40894.89,56
11:21:34,40894.90,105
11:21:34,40894.91,97
11:21:34,40894.92,126
11:21:34,40894.93,131
11:21:34,40894.94,179
11:21:34,40894.95,199
11:21:34,40894.96,231
11:21:34,40894.97,233
11:21:34,40894.98,243
11:21:34,40894.99,211
11:21:35,40895.00,153
11:21:35,40895.01,66
11:21:35,40895.02,-49
11:21:35,40895.03,-173
11:21:35,40895.04,-237
11:21:35,40895.05,-234
11:21:35,40895.06,-226
11:21:35,40895.07,-289
11:21:35,40895.09,-233
11:21:35,40895.10,-230
11:21:35,40895.11,-118
11:21:35,40895.12,-184
11:21:35,40895.13,-123
11:21:35,40895.14,-145
11:21:35,40895.15,-117
11:21:35,40895.16,-94
11:21:35,40895.17,-12
11:21:35,40895.18,-52
11:21:35,40895.19,-35
11:21:35,40895.20,-133
11:21:35,40895.21,-47
11:21:35,40895.22,-93
11:21:35,40895.23,-54
11:21:35,40895.24,-69
11:21:35,40895.25,-75
11:21:35,40895.26,-28
11:21:35,40895.27,36
11:21:35,40895.28,11
11:21:35,40895.29,9
11:21:35,40895.30,-61
11:21:35,40895.31,86
11:21:35,40895.32,147
11:21:35,40895.33,243
11:21:35,40895.34,228
11:21:35,40895.35,195
11:21:35,40895.36,152
11:21:35,40895.37,100
11:21:35,40895.38,-32
11:21:35,40895.39,-79
11:21:35,40895.40,-151
11:21:35,40895.41,-116
11:21:35,40895.42,-212
11:21:35,40895.43,-265
11:21:35,40895.44,-312
11:21:35,40895.45,-265
11:21:35,40895.46,-58
11:21:35,40895.47,412
11:21:35,40895.48,843
11:21:35,40895.49,1141
11:21:35,40895.50,978
11:21:35,40895.51,653
