"
time",,values
11:24:39,41079.70,-174
11:24:39,41079.71,-131
11:24:39,41079.72,-139
11:24:39,41079.73,-174
11:24:39,41079.74,-201
11:24:39,41079.75,-199
11:24:39,41079.76,-142
11:24:39,41079.77,-60
11:24:39,41079.78,33
11:24:39,41079.79,87
11:24:39,41079.80,102
11:24:39,41079.81,101
11:24:39,41079.82,111
11:24:39,41079.83,151
11:24:39,41079.84,190
11:24:39,41079.85,191
11:24:39,41079.86,140
11:24:39,41079.87,26
11:24:39,41079.88,-60
11:24:39,41079.89,-108
11:24:39,41079.90,-108
11:24:39,41079.91,-90
11:24:39,41079.92,-64
11:24:39,41079.93,-31
11:24:39,41079.94,-23
11:24:39,41079.95,-36
11:24:39,41079.96,-31
11:24:39,41079.97,12
11:24:39,41079.98,91
11:24:39,41079.99,148
11:24:39,41080.00,154
11:24:40,41080.01,99
11:24:40,41080.02,25
11:24:40,41080.03,-27
11:24:40,41080.04,-25
11:24:40,41080.05,34
11:24:40,41080.06,96
11:24:40,41080.07,133
11:24:40,41080.08,130
11:24:40,41080.09,97
11:24:40,41080.09,41
11:24:40,41080.11,37
11:24:40,41080.11,185
11:24:40,41080.13,544
11:24:40,41080.14,739
11:24:40,41080.14,535
11:24:40,41080.16,91
11:24:40,41080.16,-222
11:24:40,41080.18,-279
11:24:40,41080.18,-268
11:24:40,41080.20,-243
11:24:40,41080.20,-192
11:24:40,41080.21,-158
11:24:40,41080.23,-155
11:24:40,41080.23,-151
11:24:40,41080.25,-147
11:24:40,41080.25,-125
11:24:40,41080.27,-97
11:24:40,41080.27,-76
11:24:40,41080.29,-78
11:24:40,41080.30,-126
11:24:40,41080.30,-175
11:24:40,41080.32,-204
11:24:40,41080.32,-184
11:24:40,41080.34,-106
11:24:40,41080.34,-11
11:24:40,41080.36,65
11:24:40,41080.36,90
11:24:40,41080.38,66
11:24:40,41080.39,43
11:24:40,41080.39,20
11:24:40,41080.41,38
11:24:40,41080.41,37
11:24:40,41080.43,-1
11:24:40,41080.43,-59
11:24:40,41080.45,-110
11:24:40,41080.45,-118
11:24:40,41080.46,-109
11:24:40,41080.48,-47
11:24:40,41080.48,59
11:24:40,41080.50,147
11:24:40,41080.50,184
11:24:40,41080.52,154
11:24:40,41080.52,125
11:24:40,41080.54,100
11:24:40,41080.55,94
11:24:40,41080.55,102
11:24:40,41080.57,108
11:24:40,41080.57,85
11:24:40,41080.59,20
11:24:40,41080.60,-40
11:24:40,41080.61,-61
11:24:40,41080.62,-43
11:24:40,41080.63,3
11:24:40,41080.64,59
11:24:40,41080.65,91
11:24:40,41080.66,58
11:24:40,41080.67,-29
11:24:40,41080.68,-102
11:24:40,41080.69,-117
11:24:40,41080.70,-90
11:24:40,41080.71,-50
11:24:40,41080.72,-31
11:24:40,41080.73,-29
11:24:40,41080.74,-29
11:24:40,41080.75,-28
11:24:40,41080.76,34
11:24:40,41080.77,112
11:24:40,41080.78,180
11:24:40,41080.79,195
11:24:40,41080.80,162
11:24:40,41080.81,116
11:24:40,41080.82,162
11:24:40,41080.83,413
11:24:40,41080.84,624
11:24:40,41080.85,525
11:24:40,41080.86,227
11:24:40,41080.87,-22
11:24:40,41080.88,-85
11:24:40,41080.89,-163
11:24:40,41080.90,-230
11:24:40,41080.91,-254
11:24:40,41080.92,-228
11:24:40,41080.93,-196
11:24:40,41080.94,-190
11:24:40,41080.95,-241
11:24:40,41080.96,-304
11:24:40,41080.97,-347
11:24:40,41080.98,-339
11:24:40,41080.99,-297
11:24:40,41081.00,-239
11:24:41,41081.01,-163
11:24:41,41081.02,-112
11:24:41,41081.03,-87
